Compound,LogBB,LogP,TPSA,MV
sulphasalazine,-2.69,3.9,141.32,320.66
moxalactam,-2.52,-0.95,206.31,412.24
clioquinol,-2.4,3.62,33.12,169.42
bbcpd11 (cimetidine analog) (y-g13),-2.15,2.04,73.1,264.59
schembl614298,-2.15,-1.03,149.15,390.98
"uk-240,455",-2.15,-0.23,123.33,265.44
morphine-6-glucuronide,-2.09,-0.73,149.15,390.98
nitrofurantoin,-2.09,-0.05,120.73,181.32
"l-701,324",-2.03,5.28,62.32,305.36
33419-42-0,-2,0.7,160.86,493.51
icotidine,-2,2.39,92.8,356.88
ro 64-0802,-1.96,0.47,93.82,282.07
temelastine,-1.9,3.73,83.56,365.78
"disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",-1.89,-2.21,219.94,425.06
cefotetan,-1.89,-2.21,219.94,425.06
1848-75-5,-1.89,1.35,36.42,154.87
"2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one",-1.88,2.72,78.94,377.96
m2l-663581,-1.82,0.03,117.52,315.05
ritonavir,-1.82,7.44,133.75,634.12
bis-hydroxylated-l-663581,-1.82,0.22,117.52,331.86
CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,0.02,117.52,298.25
CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,0.03,117.52,315.05
raloxifene,-1.81,6.22,70,425.12
telmesteine,-1.72,-1.06,66.84,171.47
chlorambucil,-1.7,3.46,40.54,268.51
quercetin,-1.7,1.32,118.21,254.14
sucrose,-1.7,-3.75,189.53,283.58
flurbiprofen,-1.68,4.05,37.3,220.77
schembl18285121,-1.67,1.91,128.33,420.91
d-mannitol,-1.6,-3.1,121.37,161.66
mannitol (d-mannitol),-1.6,-3.1,121.37,161.66
compound 34,-1.57,1.66,106.4,235.79
y22,-1.57,4.69,75.11,309.93
l4,-1.54,-5.9,285.15,404.69
chebi: 145922,-1.54,1.76,137.51,269.33
guanidinothiazol analogue 17 ac1lbibi -- pubmed,-1.54,1.49,117.76,203.88
cube-2,-1.52,3,66.76,262.01
cube-6,-1.52,5.17,113.29,403
cube-10,-1.52,5.36,85.98,378.93
chembl151192,-1.52,1.92,110.43,387.35
amethopterin,-1.52,-1.97,210.55,387.36
rifampicin,-1.52,2.89,220.16,772.71
baclofen,-1.52,-0.42,63.32,186.3
etoposide,-1.5,0.7,160.86,493.51
methotrexate,-1.5,-1.97,210.55,387.36
imatinib,-1.5,3.89,86.28,461.44
.alpha.-d-ddc,-1.5,-1.06,90.38,185.75
"mdl 63,246",-1.48,3.93,555.42,1547.65
4-hydroxyalprazolam,-1.48,1.83,63.31,271.28
etodolac,-1.42,3.64,62.32,271.8
atenolol,-1.42,0.7,84.58,244.1
cimetidine,-1.42,0.07,84.94,231.72
cimetidine (y-g1),-1.4,0.14,88.89,231.45
biosone,-1.4,5.62,74.6,473.32
vardenafil,-1.4,2.56,112.91,436.27
151581-23-6,-1.4,1.67,89.76,293.27
apaxifylline,-1.4,1.67,89.76,293.27
chembl12325,-1.4,1.09,103.45,333.96
sb 239063,-1.4,2.12,73.07,328.27
sbb079053,-1.4,-3.01,45.92,140.19
4-aminobenzoic acid,-1.4,0.92,63.32,122.33
CCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,-1.39,6.1,26.3,304.77
"1,3-dimethyl-2-(2-methylphenylimino)imidazolidine",-1.39,2.24,18.84,205.32
tz-17,-1.39,1.75,36.42,171.43
atorvastatin,-1.36,5.34,111.79,513.8
benzoylecgonine,-1.35,2.52,66.84,281.19
"monohydroxy l-663,581 metabolite",-1.34,1.04,97.29,306.79
dcka,-1.33,2.79,70.16,186.08
didanosine,-1.3,-0.95,93.04,199.28
salbutamol ,-1.3,1.35,72.71,237.12
sildenafil,-1.3,2.51,113.43,419.47
sk&f 93319,-1.3,4.6,74.16,412.68
sb-271406,-1.3,4.37,70.67,371.18
indomethacin,-1.3,3.99,68.54,303.24
skf 93319,-1.3,2.45,92.8,356.88
"n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine",-1.3,2.67,18.84,221.88
4794-83-6,-1.3,2.18,36.42,187.99
schembl1704876,-1.3,3.36,106.5,416.08
diclazuril,-1.3,3.79,91.55,305.32
compound-9,-1.3,0.22,84.92,199.99
yg19,-1.3,1.26,38.91,186.9
17 zm0241385,-1.3,2.12,127.4,286.47
diclofenac,-1.3,4.57,49.33,238.73
l-dideoxyinosine,-1.3,-0.95,93.04,199.28
didanosine,-1.3,-0.95,93.04,199.28
?-hydroxyalprazolam (alpha-hydroxyalprazolam),-1.3,1.65,63.31,271.49
schembl13579049,-1.26,1.62,66.84,309.48
zinc27644005,-1.26,1.62,66.84,309.48
p-phenylbenzoic acid,-1.26,3.64,37.3,182.45
CN/C(=C/[N+](=O)[O-])NCCSc1ccc(CN(C)C)o1,-1.23,0.32,86.26,272.17
ls-190695,-1.23,0.33,86.26,288.97
ranitidine,-1.23,0.67,98.62,301.62
n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide,-1.23,1.48,86.59,289.21
chembl1907165,-1.23,1.23,86.59,289.21
ranitidine base,-1.23,0.33,86.26,288.97
CNC(C[N+](=O)[O-])=NCCSc1ccc(CN(C)C)o1,-1.23,1.21,86.59,272.41
digoxin,-1.23,1.12,203.08,720.14
compound 5,-1.22,4.57,59.4,463.05
ftc; emtricitabine,-1.22,-0.67,90.38,192.01
cogoxin,-1.2,1.12,203.08,720.14
nsc606170,-1.2,-1.06,90.38,185.75
"2',3'-dideoxycytidine (zalcitabine)",-1.2,-1.06,90.38,185.75
bufotenine,-1.19,1.79,39.26,200.55
y12,-1.17,2.21,81.71,336.92
y-g12 (bbcpd10),-1.17,0.47,83.73,185.16
72801-60-6,-1.15,1.51,103.33,199.13
chembl1950329,-1.15,6.22,77.33,465.34
az599,-1.15,2.46,71.86,434.24
miltefosine,-1.14,2.84,55.77,435.06
acrivastine,-1.14,3.34,53.43,335.64
compound 35,-1.12,1.63,86.59,289.25
74188-86-6,-1.12,2.14,90.02,288.98
bbcpd17,-1.12,2.13,90.02,272.18
sulpiride,-1.11,1.15,101.73,303.04
salicylic acid (2-hydroxybenzoic acid),-1.1,1.87,57.53,119.06
norfloxacin,-1.1,-0.69,74.57,279.23
bromocriptine,-1.1,3.6,118.21,546.41
bromocriptine,-1.1,3.6,118.21,546.41
ergotamine,-1.1,1.9,114.44,539.64
lupitidine (y-g5; skf93479),-1.1,2.24,87.05,381.09
cytisine,-1.09,0.27,34.03,179.98
amiodarone,-1.08,8.31,42.68,437.04
lupitidine,-1.06,2.62,109.84,379.3
zolmitriptan,-1.04,1.94,57.36,272.49
127779-20-8,-1.03,4.26,166.75,637.2
vincristine,-1.03,4.95,171.18,747.07
vincristine,-1.03,4.95,171.18,747.07
139264-82-7,-1.01,1.94,57.36,272.49
fexofenadine (allegra),-1,4.86,80.99,489.24
proc-19m,-1,4.79,53.09,470.08
ivermectin,-1,4.58,170.09,832.02
chembl68445,-1,4.05,88.52,401.06
oseltamivir,-1,1.46,82.82,316.4
cadralazine,-1,1.44,99.61,282.81
compound 17,-1,1.88,72.51,333.95
ac1nfq3w,-1,2.36,74.88,334.03
156154-71-1,-1,2.64,101.23,266.89
dm-44,-1,2.64,101.23,266.89
amezinium,-1,-1.76,52.03,187.21
-,-1,4.48,61.88,473.96
ro65-7674,-1,2.46,79.61,363.73
chembl3264225,-1,2.29,92.96,394.99
"celecoxib, celebrex",-1,3.61,77.99,298.65
liarozole,-1,3.29,46.51,263.26
ridogrel,-1,3.32,71.79,309.05
chembl1185227,-1,1.32,73.4,481.23
"takle-2; l-779,450",-1,4.49,61.8,296.5
saquinavir,-0.95,4.26,166.75,637.2
anabet,-0.95,1.15,81.94,302.52
156154-42-6,-0.95,3.38,55.4,257.09
nelfinavir mesylate,-0.93,5.47,101.89,544.79
nelfinavir,-0.93,5.32,101.89,561.59
miloxacin,-0.92,0.27,87.01,208.86
chembl243790,-0.92,6.33,76.08,481.19
atenolol ,-0.9,0.72,84.58,260.9
prazosin,-0.9,1.91,106.96,336
glibenclamide,-0.9,4.77,113.6,424.74
prednisone,-0.9,1.41,91.67,331.01
161105-56-2,-0.89,5.46,44.73,464.87
l001588,-0.89,2.6,91.48,404.03
mk-0969,-0.89,2.6,91.48,404.03
s118,-0.89,2.36,60.85,318.19
4201-26-7,-0.87,2.41,36.42,184.97
takle-1; sb-590885,-0.85,3.69,86.64,434.28
sulfamethoxypyridazine,-0.85,0.77,107.21,227.81
alovudine,-0.85,-0.5,84.33,204.1
chembl357268,-0.85,3.27,93.45,343.51
nsc169534,-0.83,0.57,206.08,459.18
doxorubicin,-0.83,0.57,206.08,459.18
omeprazole,-0.82,2.41,77.11,302.81
ly2066948,-0.81,5.96,76.08,464.39
domperidone,-0.8,3.31,78.83,372.03
aciclovir,-0.8,-1.61,119.06,187.75
"tiotidine (skb10, y-g10)",-0.8,-0.09,135,266.61
penicillic acid,-0.8,-0.56,63.6,155.87
chembl213760,-0.8,4.07,63.92,393.75
compound 4b [pmid: 16099654],-0.8,2.28,81.94,279.48
compound 13,-0.8,4.22,93.69,449.52
colchicine,-0.8,1.1,83.11,364.15
risperidone-9-oh,-0.8,2.19,71.5,386.69
levodopa,-0.8,-2.2,103.78,172
d-phenylalanine-l-proline,-0.8,-0.97,92.86,253.11
"2',3'-dideoxy-3'-hydroxymethylcytidine",-0.79,-1.59,110.61,210.59
penicillic acid,-0.79,-0.56,63.6,155.87
irie-16c,-0.79,1.59,120.24,446.31
"2´,3´-dideoxy-3´-hydroxymethylcytidine",-0.79,-1.59,110.61,210.59
cyclosporine a,-0.78,1.93,278.78,1203.12
cyclosporine a,-0.78,1.93,278.78,1203.12
cyclosporin a,-0.78,1.93,278.78,1203.12
cyclosporin a,-0.78,3.61,278.78,1203.12
n-methylthiazolium-dcka,-0.78,0.57,63.05,314.97
levodopa,-0.77,-2.2,103.78,172
chembl244000,-0.77,6.61,62.16,424.41
ofloxacin,-0.76,-0.26,75.01,311.15
indinavir,-0.74,2.51,118.02,590.13
chembl344991,-0.73,4.03,90.02,377.19
-,-0.73,4.02,90.02,360.39
b-057,-0.73,4.14,44.2,353.86
CN(C)Cc1ccc(CSCCNc2cc(Cc3ccccc3)c[nH]2)o1,-0.73,4.14,44.2,353.86
zidovudine,-0.72,-0.1,134.08,224.06
roscovitine,-0.72,3.65,87.89,338.91
zidovudine,-0.72,-4.84,134.65,226.87
zidovudine,-0.72,-1.42,132.57,229.72
ncistruc1_000794,-0.72,-0.1,134.08,224.06
"alfentanil, rapifen",-0.71,-0.1,134.08,224.06
6-mercaptopurine,-0.71,-0.39,57.37,117.56
zidovudine,-0.7,-0.1,134.08,224.06
cyclosporin a,-0.7,3.61,278.78,1203.12
quinidine,-0.7,4.33,42.35,314.84
"n-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",-0.7,7.51,145.78,663.1
levocabastine hydrochloride,-0.7,4.68,64.33,396.18
"5-chloro-4-methyl-1,4-dihydroquinazolin-2-amine",-0.7,1.89,50.41,167.08
2-o-methyl-paf (c),-0.7,3.81,74.23,553.63
mitratapid,-0.7,5.63,104.73,629.05
verapamil,-0.7,4.55,63.97,454.3
dexverapamil,-0.7,4.55,63.97,454.3
chembl239099,-0.7,1.97,76.88,426.76
paliperidone,-0.7,1.97,84.39,382.53
granisetron,-0.69,2.43,50.16,299.35
s120,-0.69,-4.67,78.64,190.63
chembl476130,-0.67,1.64,111.96,410.38
7-hydroxy risperidone,-0.67,2.04,84.39,382.53
ribavirin,-0.67,-2.77,143.73,197.68
-,-0.67,2.43,78.01,262.1
bbcpd12 (cimetidine derivative) (skb15),-0.67,2.82,86.53,258.44
ribavirin,-0.67,-2.25,143.73,197.68
y15,-0.67,-0.27,104.09,129.2
compound 31,-0.67,2.31,83.11,258.71
b-049,-0.67,2.82,86.53,258.44
nalidixicacid,-0.66,0.81,72.2,205.16
112598-30-8,-0.66,1.67,86.53,240.55
prazosin,-0.66,2.52,80.94,341.27
y16,-0.66,4.13,64.1,348.94
schembl5010920,-0.66,4.65,58.64,385.84
compound 32,-0.66,1.16,83.11,240.82
tolonidine,-0.65,2.41,36.42,184.97
itraconazole,-0.64,5.32,104.73,607.9
itraconazole,-0.64,5.32,104.73,607.9
norverapamil,-0.64,3.96,72.75,437.36
ketoconazole,-0.63,3.77,69.08,452.47
jnj-5207787,-0.63,4.82,70.89,491.32
CC(=O)Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,-0.62,3.54,72.19,312.59
darifenacin,-0.62,4.67,55.57,408.16
darifenacin,-0.62,4.67,55.57,408.16
alovudine ,-0.6,-0.5,84.33,204.1
s-methylisothiourea,-0.6,-0.09,49.88,80.91
beta-oxycodol,-0.6,0.73,70.95,271.14
"(4as,7r,7ar,12bs)-9-methoxy-3-methyl-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7-diol",-0.6,0.97,62.16,288.09
chembl239299,-0.6,3.16,53.09,413.54
s 18986,-0.6,1.3,49.41,186.21
bromocriptine,-0.59,4.18,97.98,538.72
schembl6949469,-0.59,1.68,94.82,264.31
s-licarbizine,-0.59,2.15,66.56,229.31
chembl2096766,-0.59,5.27,46.5,432.95
tacedinaline,-0.58,1.48,84.22,246.07
tipr-dcka,-0.57,4.38,131.28,490.35
chembl390020,-0.57,6.59,62.16,424.41
chembl195725,-0.56,4.13,131.2,458.73
ncgc00159461-02,-0.56,4.13,131.2,458.73
amprenavir,-0.56,4.13,131.2,458.73
bmsp,-0.55,4.39,43.86,400.38
practolol,-0.55,1.03,70.59,261.78
paclitaxel,-0.55,4.95,221.31,756.6
pregabalin,-0.54,0.66,63.32,168.11
zolpidem,-0.54,2.65,35.57,301.44
515134-70-0,-0.52,3.73,58.2,330.77
acetazolamide,-0.52,-1.15,115.05,157.11
4-epiminocycline,-0.52,0.22,164.62,399.06
minocycline,-0.52,0.22,164.62,399.06
eletriptan,-0.52,3.34,53.17,352
tg4-155,-0.52,3.54,61.73,370.42
sb-357134,-0.52,3.72,70.67,347.08
bis(chloroethyl)nitrosourea (carmustine) (bcnu),-0.52,1.67,61.77,165.91
besonprodil,-0.52,2.76,66.31,351.97
chembl2111136,-0.52,4.15,47.17,291.56
schembl8717354,-0.51,3.95,43.77,402.84
faha,-0.51,2.07,58.2,252.56
50-78-2,-0.5,1.43,63.6,155.57
phenylbutazone,-0.5,4.56,40.62,291.94
gefitinib,-0.5,4.19,68.75,385.07
epicorticosterone,-0.5,1.88,74.6,335.37
melphalan,-0.5,0.08,66.56,263.03
isotretinoin (13-cis-retinoic acid),-0.49,5.8,37.3,315.59
11-cis retinoic acid,-0.49,5.8,37.3,315.59
tretinoin,-0.49,5.8,37.3,315.59
zolpidem,-0.48,3.15,37.62,295.47
stavudine,-0.48,-0.54,84.33,192.96
phenothiazine,-0.48,3.58,23.55,279.38
chembl385336,-0.47,3.44,51.03,309.45
temozolomide,-0.47,-1.9,108.19,152.12
chembl148058,-0.47,2.1,80.47,346.6
skb30 (npropylacetamide33npiperidinylmethylphenoxy),-0.46,2.1,41.57,294.13
y30,-0.46,6.49,114.42,476.36
naratriptan,-0.46,1.8,65.2,309.56
chembl239975,-0.46,3.24,53.09,408.82
flesinoxan,-0.45,1.95,74.27,372.88
flesinoxan,-0.45,1.95,74.27,372.88
salicyluric acid (salicylurate),-0.44,-0.05,86.62,167.25
-,-0.43,2.76,52.56,276.12
skf 89124,-0.43,2.76,52.56,276.12
besp,-0.43,4.77,43.86,417.19
fleroxacin,-0.43,-0.08,65.78,306.28
cycloleucine,-0.43,-1.54,63.32,123.79
dibudipine,-0.42,5.94,110.46,402.03
topotecan,-0.42,2.03,104.9,368.14
topotecan,-0.42,0.09,104.9,372.51
pfizer compound 14,-0.42,3.01,70.67,395.95
mgs0028,-0.41,-3.21,117.69,163.62
sumatriptan,-0.4,1.4,65.2,269.73
carteolol,-0.4,1.96,70.59,284.21
acrylonitrile,-0.4,0.74,23.79,57.23
pf-4447943,-0.4,-0.02,101.84,356.9
probenecid,-0.4,2.92,74.68,255.59
mesoridazine,-0.4,4.09,25.24,353.9
compound 3a [pmid: 16099654],-0.4,2.5,77.26,263.03
"tramiprosate, alzhemed",-0.4,-3.53,80.39,113.78
chembl1190347,-0.4,2.9,53.09,423.44
compound 6h,-0.39,2.74,136.04,413.85
 sb 649915,-0.39,3.94,63.7,403.55
alpha-(4-pyridyl-1-oxide)-n-tert-butylnitrone,-0.38,-1.09,54.21,186.35
n-tert-butyl-1-(1-oxidopyridin-1-ium-4-yl)methanimine oxide,-0.38,-1.09,54.21,186.35
alpha-(4-pyridyl-1-oxide)-n-tert-butylnitrone,-0.38,-4.78,48.07,186.35
nolpitantium,-0.37,4.12,29.54,579.76
escitalopram,-0.37,3.17,36.26,305
chembl243571,-0.37,6.4,79.31,493.73
pfizer compound 18,-0.37,3.91,83.56,447.69
liv-20a,-0.37,2.64,67.35,307.09
mesoridazine,-0.36,3.02,23.55,309.43
"[(2r,9s)-2-carbamoyl-9-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenyl] acetate",-0.34,2.21,69.4,269.87
schembl11119364,-0.34,3.79,46.33,254.44
"carbamazepine, 9,10-epoxide",-0.34,1.76,55.62,223.51
cbz-epo,-0.34,2.84,46.33,227.28
NC(=O)[C@@H]1c2ccccc2[C@@H]2O[C@@H]2c2ccccc21,-0.34,1.76,55.62,223.51
cotinine,-0.32,0.41,33.2,167.81
risperidone,-0.32,3.18,51.27,378.64
schembl8639797,-0.31,2.52,69.28,304.6
acetaminophen (p-acetamidophenol),-0.3,0.68,49.33,140.01
betahistine (y-g 14),-0.3,0.73,24.92,142.45
theophylline,-0.3,-0.01,72.69,150.69
b-096,-0.3,2.54,58.86,219.47
dichloromethane,-0.3,1.51,0,56.51
morphine,-0.3,1.1,52.93,256.68
